filePath,base,scene,makeup
"align5p/2183066,db3f600027c5c11e_qy_2183066,29f7800069c638b4.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183066,29ca10001d0ce014.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183066,29f4800001662d37.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183066,29cbd000e4478fe5.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183066,29ed00002cf3d493.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183066,29f3c000101aa891.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183061,3a0b500039f28fe5.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183061,3a19a000a7f66a6d.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183061,3a1f70000298af5f.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183061,3a0330000a3cb52d.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183066,db3f600027c5c11e_qy_2183061,39fce000e0a62c66.png","2183066,db3f600027c5c11e",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,11cc660006d63aa51.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,11cd6200053b84ce4.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,11ccd20004adf12a2.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,11cc2a00023f193ce.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,11cd2600040410f75.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,1b2a7000e06811db.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,1b2df00042b9b925.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,1b2c3000ed966261.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,1b2fb000cf173017.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,ba70b000672ad536_qy_2183068,1b2620007ec5c8ac.png","2183068,ba70b000672ad536",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2185455,ea544000ae03567e.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2185455,ea4340009ca8aebc.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2185455,ea46a00067987c63.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2185455,ea314000c892ccfc.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2185455,ea4940001400b848.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2183068,74da10006760c64f.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2183068,74b15000f7ccc856.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2183068,74e07000b5c78eef.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2183068,74b7b00020b37283.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,e144b000a7d8dc15_qy_2183068,74bb1000a4f4ecec.png","2183068,e144b000a7d8dc15",indoor_sidelight,nomakeup_male
"align5p/2183068,c65f100063cc86f2_qy_2183068,8a22d000ad5e079f.png","2183068,c65f100063cc86f2",indoor_sidelight,nomakeup_male
"align5p/2183068,c65f100063cc86f2_qy_2183068,8a36300076b53612.png","2183068,c65f100063cc86f2",indoor_sidelight,nomakeup_male
"align5p/2183068,c65f100063cc86f2_qy_2183068,8a2d500033fbd434.png","2183068,c65f100063cc86f2",indoor_sidelight,nomakeup_male
"align5p/2183068,c65f100063cc86f2_qy_2183068,8a43e00058465642.png","2183068,c65f100063cc86f2",indoor_sidelight,nomakeup_male
